Question,Answer
What is the full form of INDIA in the context of the text?,INDIA stands for Indian National Developmental Inclusive Alliance.
How can individuals share seats amicably?,By communicating openly and considering each other's needs and preferences.
What is important when it comes to sharing seats?,Being respectful and compromising when necessary.
Why is it essential to share seats amicably?,To ensure a harmonious and pleasant experience for everyone involved.
How many years has Congress ruled India since independence from Britain?,Congress has ruled India for 54 of its 76 years since independence from Britain.
What are some issues highlighted by the Congress party in its efforts to defeat Modi?,"The issues highlighted by the Congress party include unemployment, rural distress, crony capitalism, affirmative action for backward castes, and ending religious polarization and hate."
Who is the current Prime Minister of India that Congress is aiming to defeat?,The current Prime Minister of India that Congress is aiming to defeat is Modi.
What is the Congress party's goal in their pitch to defeat Modi?,The Congress party's goal is to save democracy and the constitution from potential threats.
How has Congress fared in terms of support after Modi came into power?,Congress has sunk to record lows in terms of support after Modi swept to power.
Who posted a message against dictatorship on X?,Congress president Mallikarjun Kharge.
What are the main issues the people of India are fighting against?,"Hatred, loot, unemployment, price rise, and atrocities."
How many people are registered to vote in the upcoming election?,Nearly 970 million people.
How many polling stations are set up for the election?,Over 1 million polling stations.
How many political parties are likely to contest in the election?,"2,400 political parties."
What did the Human Rights Watch state about India's commitment to helping asylum seekers?,The Human Rights Watch stated that India should demonstrate genuine commitment to helping asylum seekers.
What action did India take regarding the 2019 Citizenship Amendment Act?,India amended the contentious 2019 Citizenship Amendment Act earlier this week.
What was the reaction to the amended Citizenship Amendment Act in India?,There were protests across India against the amended Citizenship Amendment Act.
What was the cause of the war of words between Prime Minister Narendra Modi's government and opposition groups?,The contentious 2019 Citizenship Amendment Act sparked a war of words between the government and opposition groups.
Why were people protesting the Citizenship Amendment Act in India?,People protested the law out of fear and concerns regarding the Citizenship Amendment Act.
What are some concerns related to the Citizenship Amendment Act in India?,The use of the Citizenship Amendment Act in India could disenfranchise Indian Muslims and strip them of their citizenship rights.
How did protesters in Chennai express their opposition to the law?,Protesters in Chennai took out a candlelight march and shouted slogans against the Citizenship Amendment Act.
What actions did protesters in Assam take to oppose the law?,"Protesters in Assam burnt copies of the law and shouted slogans, with local opposition parties calling for a state-wide strike."
Why do many in Assam oppose the Citizenship Amendment Act?,Many in Assam oppose the law because they fear it could increase migration from neighboring Muslim-majority Bangladesh.
What longstanding issue has the CAA exacerbated in Assam?,"The Citizenship Amendment Act has exacerbated the longstanding issue of migration from neighboring Muslim-majority Bangladesh, leading to polarization in Assam."
Which political party rules the southern state of Kerala in India?,The Communist Party of India (Marxist).
What did the Communist Party of India (Marxist) call for in Kerala?,State-wide protests on Tuesday.
How many people were reported to have been killed in protests and clashes in New Delhi in 2019?,"53 people, most of them Muslim."
Where were security personnel deployed by the authorities according to the statement?,In Delhi and Assam.
What happened in 2019 regarding protests against a law and communal clashes in New Delhi?,"The police used force to crush the protests, resulting in the death of 53 people, mostly Muslim."
What is the purpose of the fast track to citizenship offered by the Indian parliament in 2019?,"The fast track to citizenship is offered to religious minorities from Pakistan, Afghanistan, and Bangladesh who arrived in India before December 31, 2014, excluding Muslims."
Who is eligible for the fast track to citizenship in India?,"Hindus, Parsis, Sikhs, Buddhists, Jains, and Christians are eligible, but not Muslims."
How can eligible individuals seek citizenship under the fast track process?,Eligible individuals can seek citizenship through an online application process.
How did Pakistan react to India's fast track citizenship offer?,"Pakistan condemned the act, labeling it as discriminatory and criticized India for presenting itself as a sanctuary for religious minorities."
What term did Pakistan use to describe India in response to the citizenship offer?,"Pakistan referred to India as a ""Hindu fascist state"" in response to the citizenship offer."
What is HRW's stance on the Indian citizenship law amendments?,HRW has expressed concern over the amendments for religious bias and violating fundamental rights.
What did the United Nations High Commissioner for Human Rights say about the Indian citizenship law?,The UN High Commissioner called it a breach of India's international human rights obligations and fundamentally discriminatory.
What has the Indian Supreme Court yet to do regarding petitions challenging the citizenship law amendments?,The Indian Supreme Court has yet to hear petitions challenging the amendments for religious bias and violating fundamental rights.
Who can face persecution according to the text?,Members of the majority can also face persecution.
What actions are recommended in the text to address refugee issues?,"Ratify the refugee convention, establish non-discriminatory refugee laws, and provide a path to citizenship for recognized refugees."
What group is mentioned as being at risk in the text?,Afghans fleeing the Taliban are mentioned as being at risk.
What is currently happening to the comments section according to the text?,The comments section is undergoing an overhaul and will return soon.
What did Sindh Chief Minister Syed Murad Ali Shah say about the Constitution and the NFC award?,The Constitution does not allow a reduction in the share of provinces in the NFC award.
What is the current share of provinces in the National Finance Commission (NFC) award as per the 7th NFC Award?,The share of provinces in vertical distribution was increased to 56% during 2010-11 and 57.5% in the remaining years.
What does the International Monetary Fund (IMF) reportedly seek regarding the NFC award?,The IMF is seeking a reassessment of the NFC award.
What criteria were used for the share allocation in the 7th NFC Award?,The traditional population-based criteria were used for the allocation of shares in the 7th NFC Award.
How was the horizontal distribution of resources amongst the provinces changed?,The distribution was changed to a multiple-criteria formula.
What criteria were considered in the new distribution formula?,"82% on population, 10.3% on poverty, 5% on revenue collection, and 2.7% on inverse population density."
Why has the IMF asked Pakistan to reopen discussions on the NFC award?,To address the ongoing imbalance in the distribution of fiscal resources between federal and provincial levels.
What did the IMF emphasize the need to reassess?,The IMF emphasized the need to reassess the NFC award.
What did Sindh CM Shah mention regarding the allocation to provinces in the NFC award?,Sindh CM Shah mentioned that the government could not reduce the allocation to provinces in the NFC award due to IMF pressure.
"According to the Constitution, what is specified about the share of provinces in resources?","According to the Constitution, the share of provinces in resources cannot be reduced but can be increased."
Where did Sindh CM Shah address the matter regarding the NFC award?,Sindh CM Shah addressed the matter while talking to the media in Karachi.
What did the NFC award determine regarding resource allocation between federal and provincial authorities?,The NFC award determined disparities in resource allocation between federal and provincial authorities.
What did Shah mention about the reduction and IMF talks?,"Shah mentioned that the government likely intimated the IMF about the reduction, though he was unsure if it was a condition in the IMF talks."
Why did Shah emphasize on changing the NFC award?,Shah emphasized changing the NFC award to reflect the additional responsibilities given to provinces after the 18th Amendment.
Whose demand was it to change the NFC award according to Shah?,It was the demand of the PPP and Sindh government to change the NFC award according to Shah.
What does Shah think about the provinces' responsibilities post the 18th Amendment?,Shah believes that the NFC award should be adjusted to reflect the additional responsibilities given to provinces post the 18th Amendment.
Was Shah part of the IMF talks?,Shah mentioned he was not part of the IMF talks.
What is the purpose of the new NFC award by the government?,The new NFC award is being brought in by the government as the old one no longer applied after the 18th Amendment.
What does Article 160 of the Constitution govern?,Article 160 of the Constitution governs the National Finance Commission (NFC) award.
What does Section 3A of Article 160 of the Constitution state?,Section 3A of Article 160 states that the share of the provinces in each NFC award shall not be less than the share given in the previous award.
When did the amendment regarding the NFC take place?,"In July 2020, the then-opposition sought to amend the constitutional provision relating to the NFC to prevent any reduction in the provinces' share from the previous year."
Why was the new NFC award needed after the 18th Amendment?,The new NFC award was required as the provisions of the old award no longer applied following the implementation of the 18th Amendment.
What decision did the house make following a heated debate on the issue?,The house disallowed leave to introduce a bill seeking to amend Article 160 (3A) of the Constitution.
Who was seeking to amend Article 160 (3A) of the Constitution?,Barrister Muhammad Ali Saif of the Muttahida Qaumi Movement-Pakistan.
What was the voting outcome on the decision in the house?,The decision was made by a 25-17 majority vote.
What party did Barrister Muhammad Ali Saif belong to?,Barrister Muhammad Ali Saif belonged to the Muttahida Qaumi Movement-Pakistan.
When will the comments section return after undergoing an overhaul?,The comments section will return soon after undergoing an overhaul.
Who did Apple agree to pay $490 million to settle a class-action lawsuit?,Apple agreed to pay $490 million to settle a class-action lawsuit that alleged Tim Cook defrauded shareholders.
What was the lawsuit accusing Tim Cook of?,The lawsuit accused Tim Cook of concealing falling demand for iPhones in China.
When did Apple make the unexpected announcement that led to the lawsuit settlement?,"Apple made the unexpected announcement on Jan 2, 2019, leading to the lawsuit settlement."
Where was the preliminary settlement filed?,"The preliminary settlement was filed with the US District Court in Oakland, California."
Whose approval is required for the settlement according to the text?,The settlement requires approval by US District Judge Yvonne Gonzalez Rogers.
When did Apple face sales pressure in some markets?,"Apple faced sales pressure in markets such as Brazil, India, Russia, and Turkey."
"What did Tim Cook mention about China during an analyst call on Nov 1, 2018?",Tim Cook mentioned that he would not put China in the category where Apple faced sales pressure.
What was Apple's response to the sales pressure in China?,Apple told suppliers to curb production in response to the sales pressure in China.
When did Apple lower its revenue forecast for the first time since the launch of the iPhone?,Apple lowered its revenue forecast for the first time since the iPhone's launch in 2007.
How did the market react to Apple's lowered revenue forecast?,"Shares of Apple fell 10 percent the next day, wiping out $74 billion of market value."
How did Apple respond to requests for comment on the ruling?,Apple immediately responded to requests for comment on the ruling.
Why did Apple settle the case instead of going to trial?,Apple settled to avoid the cost and distraction of litigation.
Who represented the shareholders in the settlement?,"Shawn Williams, a partner at Robbins Geller Rudman & Dowd, represented the shareholders."
What was the settlement called by Shawn Williams?,"Shawn Williams called the settlement an ""outstanding result"" for the class."
Which investors are covered by the settlement?,The settlement covers investors who bought Apple shares in the two months between Cook's comments and the revenue forecast.
How much did the company's payout equal in its latest fiscal year?,The payout equals a little under two days of profit.
Who refused to dismiss the lawsuit last June?,Rogers refused to dismiss the lawsuit.
Who is the lead plaintiff in the lawsuit mentioned?,The lead plaintiff is the Norfolk County Council as Administering Authority of the Norfolk Pension Fund.
What did the plaintiff's lawyers in the lawsuit mentioned may seek?,Lawyers for the shareholders may seek fees.
What did the judge find plausible to believe about the discussions at Apple?,The judge found it plausible to believe that Cook had been discussing Apple’s sales outlook and not currency changes.
What is the name of the case involving Apple Inc Securities Litigation?,The case is In re Apple Inc Securities Litigation.
How much has Apple's share price increased since January 2019?,Apple's share price has more than quadrupled since January 2019.
What is Apple's current market value?,Apple's market value is more than $2.6 trillion.
What percentage of the settlement amount does Apple contribute?,Apple contributes to 25% of the settlement amount.
Who agreed to continue working together in building bilateral relations?,Foreign Minister Ishaq Dar and Afghanistan’s Interim Foreign Minister Amir Khan Muttaqi.
What are the top priorities for Pakistan in terms of cooperation with Afghanistan?,"Expanding cooperation in connectivity, trade, security, counter-terrorism, and people-to-people contacts."
Who posted about the priority areas of cooperation between Pakistan and Afghanistan?,The foreign minister posted on X about the priority areas of cooperation.
What call did the Afghan minister make to the foreign minister of Pakistan?,The Afghan minister made a congratulatory call to the foreign minister of Pakistan.
Who posted a statement about the bilateral relations between Pakistan and Afghanistan?,The deputy spokesperson at the Afghan foreign ministry.
Who is Hafiz Zia Ahmad?,Hafiz Zia Ahmad is a member of the ministry.
What did FM Muttaqi hope regarding Dar's assumption of office?,FM Muttaqi hoped that Dar's assumption of office would strengthen relations between the two neighboring countries.
What positive interactions are increasing day by day in the region?,The region is increasing its positive interactions day by day.
What role is Dar expected to take in Pakistan?,Dar is expected to take a constructive part in Pakistan.
Who invited Dar to something according to the statement?,The Afghan foreign minister invited Dar to something according to the statement.
"Who emphasized bringing facilities for passengers, patients, and commercial traffic on the Durand Line?",The statement said that both sides emphasized bringing facilities.
Who is the Kandahar Governor mentioned in the text?,Kandahar Governor mentioned is Mullah Muhammad Shirin Akhund.
Who is Pakistan’s Chargé d’Affaires mentioned in the text?,Pakistan’s Chargé d’Affaires mentioned is Ubaid ur Rehman Nizamani.
Where did the Pakistani envoy travel to meet with Mullah Shirin?,The Pakistani envoy travelled to Kandahar to meet with Mullah Shirin.
What is the significance of Kandahar in relation to the Afghan Taliban?,Kandahar is the spiritual centre of the Afghan Taliban mentioned in the text.
Who is the senior Afghan Taliban leader mentioned in the text?,The senior Afghan Taliban leader is not mentioned in the text.
What did the Afghan Taliban leader express hope for regarding Pakistan's new government?,The Afghan Taliban leader expressed hope for cordial relations between Pakistan's new government and Kabul.
What did the Pakistani Ambassador to the UN request the United Nations Security Council to do?,The Pakistani Ambassador to the UN requested the Security Council to urge the Taliban.
What areas did Ambassador Nizamani mention for advancing Pakistan-Afghanistan relations?,Ambassador Nizamani mentioned advancing relations in all mutually beneficial areas.
What was the outcome of the discussions between the Afghan Taliban leader and Ambassador Nizamani?,They agreed to advance Pakistan-Afghanistan relations in common interest areas.
What group was banned in Afghanistan by the rulers?,Tehreek-i-Taliban Pakistan group was banned in Afghanistan by the rulers.
What assistance did Ambassador Akram emphasize for destitute Afghans?,Ambassador Akram emphasized the provision of unconditional humanitarian assistance for destitute Afghans.
What was Ambassador Akram's stance on helping destitute Afghans?,Ambassador Akram believed that the international community must help destitute Afghans.
What is happening to the comments section?,The comments section is undergoing an overhaul and will return soon.
When was journalist Asad Ali Toor released from Adiala Jail?,Journalist Asad Ali Toor was released from Adiala Jail on Saturday.
What was the reason for the case against Asad Ali Toor?,The case against Asad Ali Toor was about an online campaign against the judiciary.
Who approved Asad Ali Toor's bail in the case?,An Islamabad trial court approved Asad Ali Toor's bail in the case.
What investigation was initiated by the caretaker government regarding the social media campaign against the judiciary?,The caretaker government initiated a Joint Investigation Team (JIT) to probe the alleged social media campaign against the judiciary.
How long was Asad Ali Toor questioned by Federal Investigation Agency (FIA) officials?,Asad Ali Toor was questioned by Federal Investigation Agency (FIA) officials for nearly eight hours.
What happened on February 23 regarding journalists and the general elections?,Journalist Matiullah Jan Toor was taken into custody on February 26 despite previous assurances of no action before the general elections.
What charges did Matiullah Jan Toor face under the Prevention of Electronic Crimes Act?,Matiullah Jan Toor faced charges for allegedly launching a malicious campaign against state institutions.
What intervention did the Islamabad High Court make in the case of Matiullah Jan Toor?,The Islamabad High Court intervened by holding an expedited bail hearing for Matiullah Jan Toor.
Why was Matiullah Jan Toor remanded into custody and eventually sent to jail?,Matiullah Jan Toor was remanded into custody and eventually sent to jail for allegedly launching a malicious campaign against state institutions.
What assurance was given to the Supreme Court regarding the actions against journalists before the general elections?,There were previous assurances given to the Supreme Court that no action would be taken against journalists before the general elections.
What was the reason for the delay in the hearing on March 18?,The investigating officer’s illness caused the delay.
Who called for Shahzeb Ali Toor's immediate release?,The Committee to Protect Journalists (CPJ) called for Toor's immediate release.
Who conducted the hearing of the case?,Special Judge Central Humayun Dilawar conducted the hearing.
"Who represented the petitioner, Toor, during the hearing?",Advocates Imaan Mazari-Hazir and Hadi Ali Chatha represented Toor.
What was the focus of the concerns highlighted by the CPJ regarding Toor's case?,The concerns were about freedom of expression and press in Pakistan.
Who were present in court with the relevant case records?,Ashfaq Hussain Shah was also present in court with the relevant case records.
What observation did Advocate Chatha submit from the Supreme Court?,Advocate Chatha submitted the Supreme Court's observation that journalists should not run a social media campaign against superior judges.
What did Judge Dilawar ask the investigation officer and FIA prosecutor?,Judge Dilawar asked if the Supreme Court's observation being referred to was true.
Was the FIA official's response about the Supreme Court's observation being referred to?,"Yes, the FIA official confirmed that the observation was true."
How did the court respond to the submission from Advocate Chatha?,"Subsequently, the court accepted the submission made by Advocate Chatha."
What was the amount of surety bonds in Toor's bail plea?,"Toor's bail plea was against surety bonds of Rs5,000."
Who rejoiced at Toor's release?,Advocate Hazir rejoiced at the development of Toor being released.
What was the reaction of journalist Hamid Mir to Toor's bail approval?,"Hamid Mir stated that Toor's bail approval proved that ""all allegations were a pack of lies""."
Who ordered the release of journalist Asad Toor?,Judge Humayun Dilawar ordered the release of journalist Asad Toor.
What did Hamid Mir question about the case against the journalist?,Hamid Mir questioned what about those who registered a fake case against the journalist in his post.
How long was the physical remand given to FIA for the investigation?,10 days
What was the outcome of the investigation regarding the anti-state allegations in the FIR?,It was proven that all the allegations were false.
Who praised Toor's counsel for getting his bail plea approved?,Barrister Ahsan J Pirzada
How long after his arrest was Asad Ali Toor granted bail by the FIA court?,20 days
Who were mentioned for their efforts in fighting for Asad Ali Toor's bail despite obstacles?,Imaan Hazir and Hadi Chatha
What qualities did he mention in his post on X?,"determination, professionalism, and friendship."
How long was Toor's physical remand granted by the court?,A five-day physical remand.
Under which sections of the Prevention of Electronic Crimes Act (Peca) was Toor booked?,"Sections 9, 10, and 24."
On what date was Toor granted a two-day physical remand by the lower court?,March 6.
What did the FIR (first information report) accuse Toor of?,"Glorification of an offence, cyber terrorism."
What accusation was made in the FIR against Toor?,The FIR stated that Toor built a false narrative and launched a malicious campaign.
Who was the target of the alleged campaign by Toor according to the FIR?,"The campaign by Toor targeted civil servants, government officials, and state institutions."
What term was used to describe the campaign launched by Toor in the FIR?,"The campaign was described as malicious, obnoxious, and explicit in the FIR."
Why is the comments section currently unavailable for visitors?,The comments section is undergoing an overhaul and will return soon.
What action will be taken regarding the comments section for visitors?,The comments section is undergoing maintenance and will be available again soon.
How many candidates submitted nomination papers for Senate seats in Balochistan?,36 candidates submitted nomination papers for 11 Senate seats in Balochistan.
How many candidates submitted nomination papers for Senate seats in Punjab?,28 candidates submitted nomination papers for 12 Senate seats in Punjab.
How many candidates submitted nomination papers for general seats in Punjab?,16 candidates submitted nomination papers for seven general seats in Punjab.
How many candidates submitted nomination papers in total?,A total of 68 candidates submitted nomination papers for Senate and general seats.
How many candidates submitted nomination papers for Senate seats?,Candidates submitted papers for a total of 23 Senate seats.
How many candidates submitted their nomination papers for the two women seats?,Five candidates submitted their nomination papers for the two women seats.
How many candidates submitted their nomination papers for the one minority seat?,Three candidates submitted their nomination papers for the one minority seat.
"Who has prioritized party workers over ""investors"" for Senate candidates according to PTI leader Ali Muhammad Khan?","PTI leader Ali Muhammad Khan has mentioned that the party prioritized party workers over ""investors"" for Senate candidates."
"Between whom was the issue of Senate candidates discussed, according to PTI leader Ali Muhammad Khan?","The issue of Senate candidates was discussed between party founder Imran Khan and Khyber Pakhtunkhwa Chief Minister Ali Amin Gandapur, according to PTI leader Ali Muhammad Khan."
Who submitted nomination papers for the vacant Senate seats from Balochistan?,Prime Minister Anwaarul Haq Kakar's nomination papers were submitted by Senator Danesh Kumar.
Whom is the PPP party supporting in the Senate polls?,The PPP party is supporting Mohsin Naqvi in the Senate polls.
Who are the former federal ministers who filed their nomination papers for the Senate?,Former federal ministers Faisal Vawda and Pervaiz Rashid filed their nomination papers for the Senate.
Who is contesting the Senate polls as an independent candidate from Karachi?,"Vawda, who was part of the PTI previously."
Where will PML-N's Rashid be contesting from in the Senate polls?,Rashid will be contesting from Punjab.
Who emphasized the need for parliamentary cooperation between the US and Pakistan?,US Ambassador Donald Blome.
With whom did US Ambassador Donald Blome meet to discuss parliamentary cooperation?,National Assembly Speaker Sardar Ayaz Sadiq.
What is required for the nomination papers of the candidates to be accepted for the Senate polls?,Their nomination papers need to be accepted after the scrutiny process.
Who called on Speaker Sadiq to discuss strengthening bilateral relations between Pakistan and the US?,Ambassador Blome called on Speaker Sadiq.
What did the meeting between Ambassador Blome and Speaker Sadiq focus on?,The meeting focused on a broad spectrum of issues concerning mutual interests.
What relationship did Speaker Sadiq reiterate Pakistan has with the United States?,Speaker Sadiq reiterated Pakistan's longstanding and broad-based relationship with the United States.
What did Ambassador Blome congratulate Speaker Sadiq on?,Ambassador Blome congratulated Sadiq on his re-election as the speaker.
Who is the former federal minister mentioned in the text?,Former federal minister Fawad Chaudhry was mentioned.
What would happen if JUI-F chief Maulana Fazlur Rehman decides to embark on a long march?,The incumbent government would topple.
"According to Chaudhry, who has faith in the current government?",Chaudhry said that no one had any faith in the current government except for the Modi government and Ayan Ali.
Until when does Chaudhry believe the current government may last?,Chaudhry claimed that it would be tough for the government to even last till May.
Who did Chaudhry claim did not congratulate Shehbaz Sharif on his appointment as the prime minister?,Chaudhry claimed that no one from the European Union congratulated Shehbaz Sharif on his appointment as the prime minister.
Who stated that Khyber Pakhtunkhwa would play an important role in toppling the government?,PTI leader mentioned that Khyber Pakhtunkhwa could turn against the government.
What action does PTI plan to take despite the Peshawar High Court decision?,PTI plans to go to the Supreme Court even after the Peshawar High Court's ruling.
What does Gohar Khan hope the judiciary will remember?,Gohar Khan hopes that the judiciary will remember what they promised regarding the case.
"According to PTI leader Gohar Khan, what observation did the CJP make regarding the case?",The Chief Justice of Pakistan made an observation that they will examine the case when it comes to them.
Where did Mohsin Naqvi submit his nomination papers for the Senate elections?,Mohsin Naqvi submitted his nomination papers at Adiala Jail.
What is Mohsin Naqvi's stance regarding reserved seats in the Senate elections?,Mohsin Naqvi believes that parties should not get more reserved seats than the ones they have won according to Article 51.
What position does Mohsin Naqvi hold in addition to being a federal minister?,Mohsin Naqvi is also the chairman of the Pakistan Cricket Board.
Which party does Mohsin Naqvi belong to?,Mohsin Naqvi is an independent candidate in the forthcoming Senate elections from Punjab.
What decision is Mohsin Naqvi urging the Supreme Court to announce?,Mohsin Naqvi is urging the Supreme Court to announce a decision regarding the allocation of reserved seats in the Senate elections.
What is the time limit for a minister to remain in office without being a member of parliament?,A minister can only remain in office for six months without being a member of parliament.
By what time can candidates submit their nomination papers for the upcoming Senate elections?,Candidates can submit their nomination papers until 6pm today.
Who raised doubts about the upcoming Senate elections?,PTI leader Asad Qaiser raised doubts about the upcoming Senate elections.
Who approved the list of candidates for the upcoming Senate elections?,Incarcerated party founder Imran Khan approved the list of candidates.
What was Imran Khan's response when asked about the Senate picks being genuine?,Imran Khan said he doesn't understand and doesn't want to get into it.
Who is entitled to a Senate ticket according to Imran Khan?,PTI leader Omer Sarfraz Cheema is entitled to a Senate ticket.
What was Imran Khan's stance on the approval process of the Senate picks?,Imran Khan appeared unsure if he approved the picks for the Senate elections.
Who did Imran Khan mention in relation to the Senate ticket?,Imran Khan mentioned PTI leader Omer Sarfraz Cheema in relation to a Senate ticket.
Who has started consultations regarding filing a reference against the Chief Election Commissioner Sikandar Sultan Raja?,The party has started consultations.
What is the party ready to do against the electoral body's chief?,The party is ready to fight the legal battle.
What action has Amnesty International called for regarding the social media platform X?,Amnesty International has called for the immediate restoration.
What was ongoing in terms of consultations?,Consultations regarding the inclusion of the Public Accounts Committee.
Who stated that legal options would be used against the Chief Election Commissioner?,Qaiser said that legal options would be used.
What was Twitter formerly known as?,Twitter was formerly known as X.
How many days had it been since the government blocked access to Twitter?,It had been 29 days since the government blocked access to Twitter.
Who signed a joint statement with 28 other civil society organisations for the restoration of Twitter?,The human rights group signed a joint statement with other civil society organisations for the restoration of Twitter.
What did the human rights group urge Pakistani authorities to uphold?,The human rights group urged Pakistani authorities to uphold the rights to freedom of expression and access to information.
Who committed to fulfilling the restoration of Twitter?,Prime Minister Shehbaz Sharif committed to fulfilling the restoration of Twitter.
What were PM Shehbaz's comments regarding the military's resource requirements?,PM Shehbaz stated that the government would provide all resources necessary for the operational readiness of the Armed Forces.
Where did PM Shehbaz mention Pakistan's destiny and the role of the armed forces?,PM Shehbaz mentioned Pakistan's destiny and the crucial role of the armed forces during his visit to the General Headquarters.
What type of support did PM Shehbaz seek for economic reforms and an IMF program?,PM Shehbaz sought US support for economic reforms and a new IMF program during his visit to the General Headquarters.
Who accompanied PM Shehbaz during his visit to the General Headquarters?,PM Shehbaz was accompanied by some of his key ministers during his visit to the General Headquarters.
What did PM Shehbaz emphasize about Pakistan's future in relation to the armed forces?,PM Shehbaz emphasized that Pakistan was destined to rise and highlighted the crucial role of the armed forces in ensuring this.
What did the Prime Minister and cabinet members appreciate about the Pakistan Army?,"They appreciated the professionalism, operational readiness, and sacrifices of the Pakistan Army in the war against terrorism."
What did the Prime Minister and cabinet members commend the dedication of the Pakistan Army for?,They commended the dedication of the Pakistan Army in safeguarding the nation’s territorial integrity and ensuring peace and stability.
Who affirmed that the Pakistan Army will live up to the nation's expectations?,Army Chief General Asim Munir affirmed that the Pakistan Army will live up to the nation's expectations.
What commitment did Army Chief General Asim Munir make regarding supporting the government?,He committed that the Pakistan Army will resolutely support the government.
What was emphasized in the statement regarding the Pakistan Army's role?,The statement emphasized that the Pakistan Army plays a crucial role in ensuring peace and stability in the country.
Who initially opposed the government's move to table the ordinances?,PPP members initially opposed the government's move.
In line with what conditions were the ordinances promulgated?,The ordinances were promulgated in line with IMF conditions.
Who challenged Speaker Ayaz Sadiq's ruling on the voice vote?,The opposition challenged Speaker Ayaz Sadiq's ruling.
Who was the MNA from Karachi who questioned the ordinances?,"Abdul Qadir Patel, an MNA from Karachi, questioned the ordinances."
What did Patel allege about the government bringing the ordinances?,Patel alleged that the government showed haste in bringing the ordinances without giving the members a three-day notice.
How did the Speaker respond to Patel's objections regarding the ordinances?,"Instead of the government, Speaker Sadiq responded to Patel's objections, mentioning that the ordinances were linked to something."
What did Patel suggest the Speaker do in response to the ordinances brought by the caretaker government?,Patel suggested that the Speaker follow the Sindh model and form a committee to review the caretaker government's decisions.
What issues were discussed in the National Assembly session?,IMF-related issues were discussed in the National Assembly session.
Who were the five women elected on reserved seats from Khyber Pakhtunkhwa?,"The five women elected were Naima Kanwal, Asma Arbab Alamgir, Shaheen Shah, Ghazala Anjum, and Naeema Kishwer."
How were the ordinances being tabled in the National Assembly session?,The ordinances were being tabled in the form of bills.
What opportunities did the speaker mention the members would have in relation to the ordinances?,The members would get an opportunity to debate the ordinances in committees.
What consequences could Pakistan face if the IMF-related issues are not addressed timely?,Pakistan could face a loss if the IMF-related issues are not taken up timely.
Who are the candidates announced by PPP for the upcoming Senate elections in Sindh?,"Kazim Shah, Ashraf Jatoi, Masroor Ahsan, Nadeem Bhutto, Sarfaraz Rajar, Dost Ali Jessar."
Who are the listed technocrat candidates from PPP for the Senate elections in Sindh?,Barrister Zameer Ghumro and Sarmad Ali.
Which individuals were named as PPP candidates for reserved seats for women in the Senate elections?,Quratul Ain Marri and Rubina Qaimkhani.
Who is the PPP candidate named for the upcoming Senate elections in the text?,Poonjo Bheel.
Who were the party candidates for the Balochistan seat?,"Aimal Wali Khan, Jan Mohammad Buledi, Mir Changaiz Khan Jamali, and Sardar Umer Gorgaij."
Who was the party's candidate for the technocrat seat?,Bilal Mandokhel.
Who were the candidates for the reserved seats for women?,Ishrat Brohi and Kiran Baloch.
"Who were the candidates for Khyber Pakhtunkhwa, Punjab, and Islamabad?","Rana Mehmoodul Hassan, Faiza Ahmed Malik, and Rubina Khalid, respectively."
What was the party mentioned in the press release?,Sunni Ittehad.
Who advised the PTI allies to resolve their issues at home?,Chairman Sahibzada Hamid Raza
Who made the decision for PTI allies to join the Sunni Ittehad Council?,Imran Khan
What did PTI leader Ali Zafar mention about Imran Khan?,He was informed about the party's decision to join the Sunni Ittehad Council.
What decision did Imran Khan make regarding joining a party for reserved seats?,Imran Khan decided to join the Majlis Wahdat-i-Muslimeen but later changed the decision.
Who confirmed Sher Afzal Marwat's remarks regarding the party decision?,Zafar confirmed Sher Afzal Marwat's remarks on the party decision.
What was the reason behind PTI choosing to join a party with a member in Parliament?,PTI wanted to join a party for the reserved seats which had contested the general elections and had a member in Parliament.
What potential issue did Zafar mention could arise from the party decision?,Zafar mentioned that the party knew this decision might create an issue in securing something.
What was the initial plan of PTI regarding joining a party for reserved seats?,The initial plan was for PTI to join Majlis Wahdat-i-Muslimeen for the reserved seats.
Who made the decision to join the SIC?,The decision was made by the party.
Was Imran Khan aware of the decision to join the SIC?,Imran Khan was told later on about the decision.
Was Zafar an active part of the decision-making process?,Zafar was not an active part of the decision-making process.
Who could clarify the miscommunication regarding Imran Khan's awareness of the decision?,Those who took the decision could clarify the miscommunication.
Who alleged that the PTI has... (text cut off),Information Minister Attaullah Tarar alleged that the PTI has.
What was discussed about the Pakistani military on the show 'InFocus'?,Anarchic elements outside the country were mentioned as trying to malign the Pakistani military.
"What should PTI have done regarding the IMF deal, according to Tarar?",PTI should have helped the government in regards to the IMF deal to boost GDP growth and expand the tax net.
What is the importance of increasing the GDP growth and tax net according to Tarar?,Increasing GDP growth and tax net are crucial for economic development.
What did Tarar suggest PTI should have done to support the government?,PTI was suggested to support the government in relation to the IMF deal.
What is the show where Tarar made these comments?,Tarar made these comments on the show 'InFocus'.
Where did the Tabatibi family gather to eat during Ramazan?,The Tabatibi family gathered in central Gaza.
How many members of the Tabatibi family were killed in the air strike?,36 members of the Tabatibi family were killed in the air strike.
Who was blamed for the air strike by the Gaza health ministry?,The Gaza health ministry blamed Israel for the air strike.
What were the women doing when the air strike hit the building?,The women were preparing the pre-fasting meal when the air strike hit.
